lat,lon,type,title,link
54.3727317,18.5180526,sport,Sklep Martes Sport - Park Handlowy Matarnia,https://www.google.com/maps/place/Sklep+Martes+Sport+-+Park+Handlowy+Matarnia/data=!4m7!3m6!1s0x46fd759e07449aef:0x97e79353ac75a9a!8m2!3d54.3727317!4d18.5180526!16s%2Fg%2F11bw5m9557!19sChIJ75pEB551_UYRmlrHOjV5fgk?authuser=0&hl=en&rclk=1
54.3820911,18.6004114,sport,INTERSPORT,https://www.google.com/maps/place/INTERSPORT/data=!4m7!3m6!1s0x46fd74c1d8f1b1eb:0x7ae1125e6cadc4e1!8m2!3d54.3820911!4d18.6004114!16s%2Fg%2F1td11z4v!19sChIJ67Hx2MF0_UYR4cStbF4S4Xo?authuser=0&hl=en&rclk=1
54.3876726,18.5717547,sport,MT Sport. Mańkowski T.,https://www.google.com/maps/place/MT+Sport.+Ma%C5%84kowski+T./data=!4m7!3m6!1s0x46fd75201a6d0509:0x8f5c20b404ae50a3!8m2!3d54.3876726!4d18.5717547!16s%2Fg%2F1hc8tdt4s!19sChIJCQVtGiB1_UYRo1CuBLQgXI8?authuser=0&hl=en&rclk=1
54.4069141,18.5741719,sport,u Igora - serwis rowerowy,https://www.google.com/maps/place/u+Igora+-+serwis+rowerowy/data=!4m7!3m6!1s0x46fd0aec6b941cff:0x4f1227cb198d8a06!8m2!3d54.4069141!4d18.5741719!16s%2Fg%2F11cnd4q237!19sChIJ_xyUa-wK_UYRBoqNGcsnEk8?authuser=0&hl=en&rclk=1
54.3988492,18.576658,sport,Sport Stacja,https://www.google.com/maps/place/Sport+Stacja/data=!4m7!3m6!1s0x46fd75288a8c8f8b:0x961497f5e68b236a!8m2!3d54.3988492!4d18.576658!16s%2Fg%2F11qg2ch7mn!19sChIJi4-Miih1_UYRaiOL5vWXFJY?authuser=0&hl=en&rclk=1
54.4105213,18.59383,sport,Decathlon Gdańsk Przymorze,https://www.google.com/maps/place/Decathlon+Gda%C5%84sk+Przymorze/data=!4m7!3m6!1s0x46fd0b2a577ef4cf:0xe5187dc66b4ffbb1!8m2!3d54.4105213!4d18.59383!16s%2Fg%2F1tj9s0pj!19sChIJz_R-VyoL_UYRsftPa8Z9GOU?authuser=0&hl=en&rclk=1
54.413121,18.600527,sport,BirdBoards.eu,https://www.google.com/maps/place/BirdBoards.eu/data=!4m7!3m6!1s0x46fd0bf4788d22e9:0xd9d7edc8bc97cfea!8m2!3d54.413121!4d18.600527!16s%2Fg%2F11nxp61r2q!19sChIJ6SKNePQL_UYR6s-XvMjt19k?authuser=0&hl=en&rclk=1
54.4098397,18.5918552,sport,Sklep Lechia Lwy Północy Galeria Przymorze,https://www.google.com/maps/place/Sklep+Lechia+Lwy+P%C3%B3%C5%82nocy+Galeria+Przymorze/data=!4m7!3m6!1s0x46fd0b2a5b825689:0x6d9118c9a94b6a5d!8m2!3d54.4098397!4d18.5918552!16s%2Fg%2F11h9zf5ncn!19sChIJiVaCWyoL_UYRXWpLqckYkW0?authuser=0&hl=en&rclk=1
54.4005442,18.6033852,sport,FHU Gasport tenis stołowy pingpong,https://www.google.com/maps/place/FHU+Gasport+tenis+sto%C5%82owy+pingpong/data=!4m7!3m6!1s0x46fd74cdb8c7f4ef:0x4cc05538ea2869ac!8m2!3d54.4005442!4d18.6033852!16s%2Fg%2F1td7l_n1!19sChIJ7_THuM10_UYRrGko6jhVwEw?authuser=0&hl=en&rclk=1
54.4135368,18.6255473,sport,MORSjANKI & MORSjANIE,https://www.google.com/maps/place/MORSjANKI+%26+MORSjANIE/data=!4m7!3m6!1s0x46fd0b822c42f523:0x904275531949188e!8m2!3d54.4135368!4d18.6255473!16s%2Fg%2F11pd33l52m!19sChIJI_VCLIIL_UYRjhhJGVN1QpA?authuser=0&hl=en&rclk=1
54.3839694,18.6308169,sport,Classik-Sport,https://www.google.com/maps/place/Classik-Sport/data=!4m7!3m6!1s0x46fd74a46b16b9ef:0x9439c082c5775cf1!8m2!3d54.3839694!4d18.6308169!16s%2Fg%2F1w6642sg!19sChIJ77kWa6R0_UYR8Vx3xYLAOZQ?authuser=0&hl=en&rclk=1
